Team 1
1 P 0: Bedard, Erik                [01000000] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
13 C 5: LaRue, Jason               [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Buck, John                 [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Sweeney, Mike             [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 LF 5: Gload, Ross               [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 1B 5: Shealy, Ryan              [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 2B 5: Grudzielanek, Mark        [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 2B 5: German, Esteban           [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 3B 5: Gordon, Alex              [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Pena, Tony                [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Sanders, Reggie           [01000010] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
23 RF 5: Brown, Emil               [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 RF 5: Teahen, Mark              [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 CF 5: DeJesus, David            [01000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Nunez, Leo                 [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Bale, John                 [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Elarton, Scott             [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Hudson, Luke               [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Bannister, Brian           [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Musser, Neal               [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 P 5: Nelson, Joe                [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 SS 5: Sanchez, Angel            [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
34 SS 5: Berroa, Angel             [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
35 RF 5: Costa, Shane              [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
36 CF 5: Gathright, Joey           [10000010] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 10
1 P 0: Santana, Johan              [01000010] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Bonser, Boof                [01000010] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Ortiz, Ramon                [01000010] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Silva, Carlos               [01000010] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Ponson, Sidney              [01000010] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Guerrier, Matt              [01000010] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 3: Neshek, Pat                 [01000010] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 3: Crain, Jesse                [01000010] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 4: Cameron, Great              [01000010] | [10000000] | [00000000] | [00000000] | [00010000] | [00000000]
10 P 6: Rincon, Juan               [01000010] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 7: Nathan, Joe                [01000010] | [10000000] | [00000000] | [00000000] | [00011100] | [00000000]
12 C 5: Mauer, Joe                 [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
13 C 5: Redmond, Mike              [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Heintz, Chris              [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Morneau, Justin           [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Castillo, Luis            [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 3B 5: Punto, Nick               [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 3B 5: Cirillo, Jeff             [01000010] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
19 SS 5: Bartlett, Jason           [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Young, Great              [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Kubel, Jason              [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Cuddyer, Michael          [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Hunter, Torii             [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: White, Rondell            [01000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Tyner, Jason              [01000010] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
26 P 5: Baker, Scott               [10000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Liriano, Francisco         [10000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: DePaula, Julio             [10000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Perkins, Glen              [10000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 1B 5: Jones, Garrett            [10000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 2B 5: Casilla, Alexi            [10000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 SS 5: Machado, Alejandro        [10000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 LF 5: Ford, Lew                 [10000010] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 11
1 P 0: Colon, Bartolo              [01000010] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Weaver, Jered               [01000010] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Lackey, John                [01000010] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Escobar, Kelvim             [01000010] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Santana, Ervin              [01000010] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Moseley, Dustin             [01000010] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Carrasco, Hector            [01000010] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Oliver, Darren              [01000010] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Speier, Justin              [01000010] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Shields, Scot              [01000010] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 7: Rodriguez, Francisco       [01000010] | [11000000] | [00000000] | [00000000] | [00011100] | [00000000]
12 C 5: Molina, Jose               [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
13 C 5: Napoli, Mike               [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 1B 5: Kotchman, Casey           [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Hillenbrand, Shea         [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Kendrick, Howie           [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 3B 5: Quinlan, Robb             [01000010] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
18 3B 5: Figgins, Chone            [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 SS 5: Aybar, Erick              [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Izturis, Maicer           [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Cabrera, Orlando          [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Guerrero, Vladimir        [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Matthews Jr., Gary        [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Anderson, Garret          [01000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 CF 5: Willits, Reggie           [01000010] | [11000000] | [00000000] | [00000010] | [00010100] | [00000000]
26 P 5: Jones, Greg                [10000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Saunders, Joe              [10000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Bootcheck, Chris           [10000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 1B 5: Morales, Kendry           [10000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 3B 5: McPherson, Dallas         [10000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 3B 5: Brown, Matthew            [10000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 CF 5: Murphy, Tommy             [10000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 RF 5: Rivera, Juan              [10000010] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 12
1 P 0: Haren, Danny                [01000011] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Blanton, Joe                [01000011] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Harden, Rich                [01000011] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Gaudin, Chad                [01000011] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Kennedy, Joe                [01000011] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Marshall, Jay               [01000011] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 3: Witasick, Jay               [01000011] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 3: Embree, Alan                [01000011] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: DiNardo, Lenny              [01000011] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Calero, Kiko               [01000011] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Duchscherer, Justin        [01000011] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Street, Huston             [01000011] | [00000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Kendall, Jason             [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Melhuse, Adam              [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 C 5: Piazza, Mike               [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Johnson, Dan              [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Scutaro, Marco            [01000011] | [00000000] | [00000000] | [00000010] | [00010100] | [00000000]
18 2B 5: Walker, Todd              [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 2B 5: Ellis, Mark               [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 3B 5: Chavez, Eric              [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Crosby, Bobby             [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Bradley, Milton           [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 RF 5: Swisher, Nick             [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: Kielty, Bobby             [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Stewart, Shannon          [01000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Casilla, Santiago          [10000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Flores, Ron                [10000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Loaiza, Esteban            [10000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: McBeth, Marcus             [10000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 2B 5: Murphy, Donnie            [10000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 CF 5: Kotsay, Mark              [10000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 LF 5: Buck, Travis              [10000011] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 13
1 P 0: Hernandez, Felix            [01000011] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Washburn, Jarrod            [01000011] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Batista, Miguel             [01000011] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Ramirez, Horacio            [01000011] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Weaver, Jeff                [01000011] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Rhodes, Arthur              [01000011] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 3: White, Sean                 [01000011] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 4: Sherrill, George            [01000011] | [01000000] | [00000000] | [00000000] | [00010000] | [00000000]
9 P 3: Mateo, Julio                [01000011] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Morrow, Brandon            [01000011] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Reitsma, Chris             [01000011] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Putz, J.J.                 [01000011] | [01000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Johjima, Kenji             [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Burke, Jamie               [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Broussard, Ben            [01000011] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
16 1B 5: Sexson, Richie            [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Lopez, Jose               [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 3B 5: Beltre, Adrian            [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Bloomquist, Willie        [01000011] | [01000000] | [00000000] | [00000110] | [00010100] | [00000000]
20 SS 5: Betancourt, Yuniesky      [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Guillen, Jose             [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Ellison, Jason            [01000011] | [01000000] | [00000000] | [00000010] | [00010100] | [00000000]
23 CF 5: Suzuki, Ichiro            [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: Ibanez, Raul              [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 2B 5: Vidro, Jose               [01000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Green, Sean                [10000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Huber, Jon                 [10000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Feierabend, Ryan           [10000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Cruz, Great                [10000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Jimenez, Cesar             [10000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Woods, Jake                [10000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 P 5: Lowe, Mark                 [10000011] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 14
1 P 0: Millwood, Kevin             [01000011] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Padilla, Vicente            [01000011] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: McCarthy, Brandon           [01000011] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Tejeda, Robinson            [01000011] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 1: Wood, Mike                  [01000011] | [10000000] | [00000000] | [00000000] | [00000100] | [00000000]
6 P 3: Feldman, Scott              [01000011] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
7 P 3: Miller, Great               [01000011] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
8 P 4: Wilson, C.J.                [01000011] | [10000000] | [00000000] | [00000000] | [00010000] | [00000000]
9 P 3: Loe, Kameron                [01000011] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Benoit, Joaquin            [01000011] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Otsuka, Akinori            [01000011] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Gagne, Eric                [01000011] | [10000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Laird, Gerald              [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Stewart, Chris             [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Teixeira, Mark            [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Kata, Matt                [01000011] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
17 2B 5: Kinsler, Ian              [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 3B 5: Blalock, Hank             [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 SS 5: Young, Michael            [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 RF 5: Cruz, Nelson              [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Sosa, Sammy               [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Lofton, Kenny             [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 LF 5: Hairston Jr., Jerry       [01000011] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
24 LF 5: Catalanotto, Frank        [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Wilkerson, Brad           [01000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Rheinecker, John           [10000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Francisco, Frank           [10000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Koronka, John              [10000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Chen, Bruce                [10000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Murray, A.J.               [10000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Littleton, Wes             [10000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 SS 5: Arias, Joaquin            [10000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 RF 5: Diaz, Victor              [10000011] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 15
1 P 0: Smoltz, John                [01000011] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Hudson, Tim                 [01000011] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: James, Chuck                [01000011] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Redman, Mark                [01000011] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Davies, Kyle                [01000011] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Villarreal, Oscar           [01000011] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 4: McBride, Macay              [01000011] | [11000000] | [00000000] | [00000000] | [00010000] | [00000000]
8 P 3: Yates, Tyler                [01000011] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Paronto, Chad               [01000011] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Gonzalez, Mike             [01000011] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Soriano, Rafael            [01000011] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Wickman, Bob               [01000011] | [11000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Pena, Brayan               [01000011] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
14 C 5: McCann, Brian              [01000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Wilson, Craig             [01000011] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
16 1B 5: Thorman, Scott            [01000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Orr, Pete                 [01000011] | [11000000] | [00000000] | [00000100] | [00010100] | [00000000]
18 2B 5: Johnson, Kelly            [01000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 3B 5: Jones, Chipper            [01000011] | [11000000] | [00000000] | [00000001] | [00010100] | [00000000]
20 SS 5: Renteria, Edgar           [01000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Woodward, Chris           [01000011] | [11000000] | [00000000] | [00000010] | [00010100] | [00000000]
22 RF 5: Francoeur, Jeff           [01000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 RF 5: Langerhans, Ryan          [01000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Jones, Andruw             [01000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Diaz, Matt                [01000011] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
26 P 5: Devine, Joey               [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Moylan, Peter              [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Hampton, Mike              [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Sturtze, Tanyon            [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Cormier, Lance             [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Boyer, Blaine              [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 P 5: Lerew, Anthony             [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 2B 5: Prado, Martin             [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
34 3B 5: Aybar, Willy              [10000011] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 16
1 P 0: Willis, Dontrelle           [01000100] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Olsen, Scott                [01000100] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Sanchez, Anibal             [01000100] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Mitre, Sergio               [01000100] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Nolasco, Ricky              [01000100] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Gardner, Lee                [01000100] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 4: Pinto, Renyel               [01000100] | [00000000] | [00000000] | [00000000] | [00010000] | [00000000]
8 P 3: Lindstrom, Matt             [01000100] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Gregg, Kevin                [01000100] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Messenger, Randy           [01000100] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Owens, Henry               [01000100] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Julio, Jorge               [01000100] | [00000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Olivo, Miguel              [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Treanor, Matt              [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Jacobs, Mike              [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Wood, Jason               [01000100] | [00000000] | [00000000] | [00000010] | [00010100] | [00000000]
17 2B 5: Uggla, Dan                [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 3B 5: Boone, Aaron              [01000100] | [00000000] | [00000000] | [00001000] | [00010100] | [00000000]
19 3B 5: Cabrera, Miguel           [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Ramirez, Hanley           [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Amezaga, Alfredo          [01000100] | [00000000] | [00000000] | [00001100] | [00010100] | [00000000]
22 RF 5: Ross, Cody                [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 LF 5: Hermida, Jeremy           [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Borchard, Joe             [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Willingham, Josh          [01000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Kensing, Logan             [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Garcia, Jose               [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Tankersley, Taylor         [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Martinez, Carlos           [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 P 5: Johnson, Josh              [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 P 5: Tyler, Scott               [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 CF 5: Reed, Eric                [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
33 CF 5: Abercrombie, Reggie       [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
34 CF 5: De Aza, Alejandro         [10000100] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 17
1 P 0: Glavine, Tom                [01000100] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Martinez, Pedro             [01000100] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Hernandez, Orlando          [01000100] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Maine, John                 [01000100] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Perez, Oliver               [01000100] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Burgos, Ambiorix            [01000100] | [01000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 2: Sele, Aaron                 [01000100] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Smith, Joe                  [01000100] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Schoeneweis, Scott          [01000100] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Feliciano, Pedro           [01000100] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Heilman, Aaron             [01000100] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Wagner, Billy              [01000100] | [01000000] | [00000000] | [00000000] | [00011100] | [00000000]
